"Freq","alreadyInGazet","ordemGazet","statusInGazet","alreadyInGazet..status","add","X","source","status","X.1","X.2","X.3","X.4","country","stateProvince","municipality","locality","X.5","loc","loc.correct","meanLatitude","meanLongitude"
53,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","","carlos botelho state park riberao branco km 55 ca 23 km s of park headquarters transect 1",,"brazil_sao paulo_transect 1_carlos botelho state park, circa 23 km s of park headquarters","",,
52,FALSE,,,,,,"gbif",,,,,,"Brazil","","paraguacu paulista ( 43 )","estacao florestal de paraguacu paulista (6km n of city on road to bora) ( 11 ) | estacao florestal de paraguacu paulista (6 km n of city on road to bora) mun paraguacu paulista ( 4 ) | fazenda of sr lauro toledo ( 4 ) | fazenda of sr lauro toledo (1km w of rio sao mateus) ( 4 ) | estacao florestal de paraguacu paulista (6km n of city) ( 3 ) | estacao florestal de paraguacu paulista ( 2 )",,"brazil_NA_paraguacu paulista","",-22.5157892105263,-50.7754386315789
52,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","Angatuba","fazenda boa vista ( 23 ) | faz boa vista 3-4 km e da estacao eng° hermilo ( 3 ) | angatuba fazenda boa vista ( 2 ) | faz boa vista 4/5 km se da estacao eng hermilo em linha reta ( 2 ) | faz boa vista; 4-5km se da estacao engº hermilo ( 2 ) | fazenda boa vista 3-4 km e da estacao eng hermilo ( 2 )",,"brazil_sao paulo_angatuba_fazenda boa vista","",-23.4906429166667,-48.41003815
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Anhembi","fazenda santa rita (agropave) mata mesofila semidecidua ( 21 ) | fazenda santa rita (agropave) ( 17 ) | fazenda santa rita ( 4 ) | anhembi fazenda santa rita (agropave) ( 2 ) | fazenda santa rita agropave ( 2 ) | fazenda santa rita agropave; mata mesofila semidecidua; borda da mata ( 2 )",,"brazil_sao paulo_anhembi_fazenda santa rita","",-22.7449881333333,-48.0702947333333
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Salesópolis","bairro dos freires km 6 usina parque de salesopolis encosta ao longo da trilha da cachoeira dos freires ( 9 ) | bairro dos freires estrada contorno da barragem usina-parque de salesopolis trilha do sal ( 7 ) | bairro dos freires estrada contorno da barragem usina-parque de salesopolis encosta a esquerda do reservatorio ( 4 ) | bairro dos freires estrada contorno da barragem usina-parque de salesopolis trilha ao longo da cachoeira dos freires ( 4 ) | bairro dos freires estrada contorno da barragem usina-parque de salesopolis ( 3 ) | bairro dos freires km 6 usina parque de salesopolis trilha ao longo da cachoeira dos freires ( 3 )",,"brazil_sao paulo_bairro freires","",-23.530001,-45.84
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Campos do Jordão","pecj sao jose dos alpes ( 18 ) | pecj ( 13 ) | pecj trilha da cachoeira area de fitossociologia ( 3 ) | pecj trilha da cachoeira area de fitossociologia (sad69 zona 23k) ( 3 ) | pec j trilha da cachoeira ( 2 ) | pecj - efe 3 ( 2 )",,"brazil_sao paulo_campos jordao_parque estadualc","",-22.7189681428571,-45.5482736428571
52,FALSE,,,,,,"gbif_reflora_splink",,,,,,"Brazil","São Paulo","Corumbataí","cerrado ( 51 ) | cerrado proximo a trilha principal a cerca de 25 km da porteirana area mas rala ( 1 )",,"brazil_sao paulo_corumbatai_cerrado","",-22.2206059090909,-47.6206059090909
52,FALSE,,,,,,"gbif_reflora_splink",,,,,,"Brazil","São Paulo","Corumbataí","mata da unesp cerradao ( 24 ) | mata da unesp ( 23 ) | mata da unesp borda ( 2 ) | mata da unesp cerradao; borda ( 2 ) | mata de unesp cerradao ( 1 )",,"brazil_sao paulo_corumbatai_mata unesp","",-22.2355163333333,-47.6721644666667
52,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","Cosmorama","fazenda borges ( 29 ) | faz borges ( 23 )",,"brazil_sao paulo_cosmorama_fazenda borges","",-20.46995,-49.7731847
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Cunha","estrada real entre cunha e o bairro do monjollo",,"brazil_sao paulo_cunha_estrada real entre cunha e o bairro monjollo","",-23.0934842745098,-44.9167772745098
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Embu das Artes","sitio campela ( 51 ) | sitio campela sobre tronco vivo e torto na matinha residual ( 1 )",,"brazil_sao paulo_embu_sitio campela","",-23.639722,-46.84
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Itanhaém","jardim anchieta proximo ao rio preto ( 30 ) | jardim anchieta floresta de restinga ( 20 ) | jardim anchieta mata ao fim da rua itapetininga mata de restinga ( 2 )",,"brazil_sao paulo_itanhaem_jardim anchieta","",-24.1840281875,-46.7936459375
52,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","Itapetininga","fazenda santa luzia do campo largo sse da cidade de itapetininga ( 17 ) | fazenda santa luzia do campo largo ( 15 ) | fazenda santa luzia do campo largo; se da cid de itapetininga na divisa co o mun de sarapui ( 2 ) | fazenda santa luzia do campo largo; ssw da cidade de itapetininga; plantacoes de arroz inundada ( 2 ) | municipio de itapetininga: fazenda santa luzia do campo largo sse of city of itapetininga ( 2 ) | faz santa luzia do campo largo sse da cid itapetininga  ( 1 )",,"brazil_sao paulo_itapetininga_fazenda santa luzia campo largo","",-23.5922982,-48.0502129285714
52,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","Itapetininga","municipio de itapetininga: faz sta luzia do campo sse da cid de itapetininga ( 6 ) | faz sta luzia do campo sse da cid de itapetininga ( 5 ) | faz sta luzia campo largo sse da cid de itapetininga ( 4 ) | faz sta luzia do campo largo sse da cid de itapetininga ( 4 ) | faz sta luzia do campo largo sse da cid itapetininga ( 4 ) | fazenda sta luzia do campo largo sse da cid de itapetininga ( 3 )",,"brazil_sao paulo_itapetininga_fazenda sta","",-23.5936056,-48.0501355714286
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Itararé","estrada itarare-bonsucesso fazenda santa maria do espinho ( 36 ) | estrada itarare-bonsucesso fazenda santa maria do espinho campo natural com banhado e mata ciliar adjacentes ( 7 ) | estrada itarare- bonsucesso fazenda santa maria do espinho ( 2 ) | brasil sao paulo mun itarareestrada itarare-bonsucessofazenda santa maria do espinho ( 1 ) | estrada de itarare- bonsucesso fazenda santa maria do espinho beira da mata ( 1 ) | estrada itarare -bonsucesso fazenda santa maria do espinho ( 1 )",,"brazil_sao paulo_itarare_estrada itarare bonsucesso, fazenda santa maria espinho","",-24.2308480102564,-49.2789675692308
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Itirapina","reserva experimental de itirapina (charco coberto por sphagnum) ( 51 ) | reserva experimental de itirapina ( 1 )",,"brazil_sao paulo_itirapina_reserva experimental itirapina","",,
52,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","","jardim vila bela rio claro - sp brasil ( 42 ) | jardim vila bela rio claro - sp brazil ( 5 ) | jardim vila bela rio claro - sp 13506-775 brasil ( 4 ) | jardim vila bela rio claro - sp 13506-749 brasil ( 1 )",,"brazil_sao paulo_jardim vila bela","",,
52,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","","jardim vila bela rio claro - sp brasil ( 42 ) | jardim vila bela rio claro - sp brazil ( 5 ) | jardim vila bela rio claro - sp 13506-775 brasil ( 4 ) | jardim vila bela rio claro - sp 13506-749 brasil ( 1 )",,"brazil_sao paulo_jardim vila bela_jardim vila bela","",,
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Jundiaí","jundiai est experimental do iac banco de germoplasma ( 14 ) | jundiai: serra do japi trilha que parte da sede ( 5 ) | jundiai e experimental iac banco de germoplasma ( 4 ) | jundiai estacao experimental do iac floresta mesofila ( 4 ) | jundiai serra do japi ( 4 ) | jundiai estacao experimental do lac floresta mesofila ( 2 )",,"brazil_sao paulo_jundiai_jundiai","",-23.1882844304348,-46.8821607304348
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Nova Odessa","em cultivo no jardim botanico plantarum ( 14 ) | em cultivo no jardim botanico plantarum canteiro de plantas medicinais ( 4 ) | em cultivo no jardim botanico plantarum estufa das gesneriaceas ( 3 ) | em cultivo no jardim botanico plantarum canteiro g4 ( 2 ) | em cultivo no jardim botanico plantarum na estufa das gesneriaceas ( 2 ) | em cultivo no jardim botanico plantarum arborizacao da avenida brasil (em frente a saida do plantarum) ( 1 )",,"brazil_sao paulo_nova odessa_em cultivo no jardim botanico plantarum","",-22.77,-47.290001
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Pariquera-Açu","estrada pariquera-cananeia acesso de terra km 4 ( 23 ) | estrada de pariquera-cananeia acesso de terra km 4 ( 10 ) | estrada pariquera-cananeia acesso de terra ( 4 ) | pariquera-acu estrada pariquera-cananeia acesso de terra km 4 ( 4 ) | estrada pariquera- cananeia acesso de t ( 2 ) | estrada pariquera-cananeia ( 2 )",,"brazil_sao paulo_pariquera acu_estrada pariquera cananeia","",,
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","São José do Barreiro","municipio sao jose do barreiro road from sao jose do barreiro (sp-221) to the entrance of parque nacional serra da bocaina between km 24 and km 27 ( 24 ) | road from sao jose do barreiro (sp-221) to the entrance of parque nacional serra da bocaina between km 24 and km 27 ( 22 ) | municipio sao jose do barreiro road from sao jose do barreiro (sp-221) to the entrance of parque nacional do serra da bocaina between km 24 and km 27 ( 2 ) | road from sao jose do barreiro (sp-221) to the entrance of parque nacional da serra das bocaina between km 24 and km 27 disturbed mata atlantica vegetation ( 2 ) | road from sao jose do barreiro (sp-221) to the entrance of parque nacional serra da bocaina between km 24 and km 27&nf;disturbed mata atlantica vegetation ( 2 )",,"brazil_sao paulo_sao jose barreiro_road from sao jose barreiro, to the entrance of parque nacional serra bocaina between km 24 and km 27","",-22.7331739512195,-44.6165747317073
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","São José do Rio Preto","fazenda felicidade ( 39 ) | faz felicidade ( 11 ) | fazenda da felicidade ( 1 ) | fazenda felicidade felicidade ( 1 )",,"brazil_sao paulo_sao jose rio preto_fazenda felicidade","",-20.8198332994249,-49.3752221035428
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","São Paulo","distrito de parelheiros matas ao redor da represa billings ( 17 ) | distrito de parelheiros sitio morro verde ( 8 ) | distrito de parelheiros sitio morro verde a rua jose motta 170 ( 6 ) | distrito parelheiros sitio curucutu ( 5 ) | distrito de parelheiros mata ao redor da represa billings ( 4 ) | distrito de parelheiros matas ao redor ( 1 )",,"brazil_sao paulo_sao paulo_distrito parelheiros","",-23.8590471117647,-46.7067213333333
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Sete Barras","reserva florestal de sete barras ( 29 ) | reserva florestal de sete barras mata ( 4 ) | reserva florestal sete barras ( 4 ) | on rocks in and along a stream in a humid forest reserva florestal de sete barras municipio de sete barras ( 3 ) | reserva florestal de sete barras sp 139 ca 80 km sul de itapetininga ( 2 ) | ca 40 km n de registro reserva florestal de sete barras ( 1 )",,"brazil_sao paulo_sete barras_reserva florestal sete barras","",-24.3875927611111,-47.9279606833333
52,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Ubatuba","estrada para a casa da farinha ( 42 ) | estrada para a casa da farinha mata de planicie borda ( 3 ) | picinguaba estrada para a casa da farinha ( 2 ) | estrada para a casa da farinha mata de planicie ( 1 ) | estrada para a casa da farinha s23°21'09"""" w44°51'10"""" borda de mata de planicie sobre ficus ( 1 ) | estrada para a casa da farinha&nf;individuo isolado na borda esquerda da trilha ( 1 )",,"brazil_sao paulo_ubatuba_estrada para a casa farinha","",-23.3618915863636,-44.8799186863636
51,FALSE,,,,,,"reflora",,,,,,"Brazil","","piat ( 46 ) | aba ra ( 5 )","estrada piat - in bia ( 8 ) | estrada piat - in bia a 2 km da entrada para in bia ( 7 ) | estrada piat - in bia pr ximo ao entroncamento ( 5 ) | estrada piat - aba ra entrada direita ap s a entrada para catol s ( 4 ) | estrada piat - aba ra 4 km ap s piat  ( 3 ) | estrada piat - ribeir o ( 3 )",,"brazil_NA_NA_estrada piat","",,
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Campinas ( 7 ) | Ubatuba ( 7 ) | Mogi Guaçu ( 6 ) | São Paulo ( 3 ) | Assis ( 2 ) | e e jundiai ( 2 )","est experimental de ubatuba (iac) ( 6 ) | campo experimental do departamento de biologia vegetal (ib/unicamp) ( 5 ) | est exp do inst florestal  ( 2 ) | mata secundaria ? em bom estado de conservacao coletas principalmente na borda mamiferos comuns (saguis bugios jaguatirica) ( 2 ) | state of sao paulo municipio de moiji-guacu: ""campos das sete lagoas"" fazenda campininhas just north of rio moji-guacu 10 km nne of padua sales (about 27 km nw of city of moji-mirim) ( 2 ) | state of sao paulo municipio de moji-caucu: ""campos das sete lagoas"" fazenda campininha just nort of rio moji-guacu 66 km nnw of padua sales (about 27 km nw of city of moji-mirim) ( 2 )",,"brazil_sao paulo_","",-22.7636064166667,-46.64888425
51,FALSE,,,,,,"gbif_reflora_splink",,,,,,"Brazil","São Paulo","Agudos","cerrado da brahma ( 49 ) | cerrado da brahma area brejosa ( 1 ) | cerrado- brahma ( 1 )",,"brazil_sao paulo_agudos_cerrado brahma","",-22.4615325,-48.98125
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Andradina","fazenda santa helena ( 48 ) | fazenda santa helena mata virgem 120 alqueires com maior diversidade com pau d'alho ( 1 ) | fazenda santa helena mata virgem 120 alqueires com maior diversidade com pau dalho ( 1 ) | fazenda santa helena mata vrigem ( 1 )",,"brazil_sao paulo_andradina_fazenda santa helena","",-20.8904973684211,-51.3702486315789
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Atibaia","serra do itapetinga ( 23 ) | serra de itapetinga ( 11 ) | serra de itapetinga trilha da pedra grande ( 5 ) | serra do itapetinga topo da pedra grande ( 4 ) | serra de itapetinga no topo da pedra grande ( 2 ) | pedra grandeserra de itapetinga ( 1 )",,"brazil_sao paulo_atibaia_serra itapetinga","",-23.14286735,-46.5471285833333
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Campinas","fazenda monte d'este ( 33 ) | faz monte d'este em plantacao de milho ( 5 ) | fazenda monte d'este em cultura de milho ( 5 ) | faz monte d'este ( 2 ) | faz monte d'este campinas sao paulo ( 1 ) | faz monte d'este campinas sao paulo em plantacao de milho ( 1 )",,"brazil_sao paulo_campinas_fazenda monte este","",-22.9012841666667,-47.0601453333333
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Campinas","iac faz sta elisa em cultivo ( 12 ) | fazenda sta elisa ( 11 ) | faz sta elisa ( 5 ) | faz sta elisa complexo botanico monjolinho ( 2 ) | iac fazenda sta elisa cec - centro de hortalicas area aberta proxima ao cultivo protegido cultivado ( 2 ) | iac fazenda sta elisa centro de horticultura area aberta proxima ao cultivo protegido ( 2 )",,"brazil_sao paulo_campinas_fazenda sta elisa","",-22.8904232222222,-47.0679026666667
51,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","Coronel Macedo","estrada coronel macedo - itabera ca 20 km de coronel macedo estrada secundaria para vilarejo saindo do km 249 rodovia eduardo saigh area perturbada com pequenos remanescentes de floresta estacional semidecidual ( 48 ) | estrada coronel macedo - itabera ca 20km de coronel macedo estrada secundaria para vilarejo saindo do km 249 rodovia eduardo saigh ( 2 ) | estrada coronel macedo - itabera ca 20 km de coronel macedo estrada secundaria para vilarejo saindo do km 249 rodovia eduardo saigh ( 1 )",,"brazil_sao paulo_coronel macedo_estrada coronel macedo, estrada secundaria para vilarejo, saindo km 249 rodovia eduardo saigh","",,
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Gália","est ecol dos caetetus ( 48 ) | est escol dos caetetus ( 2 ) | est eco dos caetetus ( 1 )",,"brazil_sao paulo_dos caetetus","",-22.25,-49.5
51,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","","estacao ecologica jureia-itatins ( 7 ) | estacao ecologica da jureia-itatins ( 3 ) | estacao ecologica da jureia-itatins trilha do imperador ( 3 ) | estacao ecologica jureia-itatins instituto florestal a cerca de 100 m do mar ( 3 ) | estacao ecologica jureia-itatins rio verde ( 3 ) | estacao ecologica jureia-itatins serra da jureia trilha do imperador ( 3 )",,"brazil_sao paulo_estacao ecologica jureia itatins","",,
51,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","","estacao ecologica jureia-itatins ( 7 ) | estacao ecologica da jureia-itatins ( 3 ) | estacao ecologica da jureia-itatins trilha do imperador ( 3 ) | estacao ecologica jureia-itatins instituto florestal a cerca de 100 m do mar ( 3 ) | estacao ecologica jureia-itatins rio verde ( 3 ) | estacao ecologica jureia-itatins serra da jureia trilha do imperador ( 3 )",,"brazil_sao paulo_estacao ecologica jureia itatins_estacao ecologica jureia itatins","",,
51,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","Coronel Macedo","estrada coronel macedo - itabera ca 20 km de coronel macedo estrada secundaria para vilarejo saindo do km 249 rodovia eduardo saigh area perturbada com pequenos remanescentes de floresta estacional semidecidual ( 48 ) | estrada coronel macedo - itabera ca 20km de coronel macedo estrada secundaria para vilarejo saindo do km 249 rodovia eduardo saigh ( 2 ) | estrada coronel macedo - itabera ca 20 km de coronel macedo estrada secundaria para vilarejo saindo do km 249 rodovia eduardo saigh ( 1 )",,"brazil_sao paulo_estrada coronel macedo","",,
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Iperó ( 50 )","fazenda ipanema flona ipanema ( 26 ) | fazenda ipanema flona ipanema mata mesofila ( 7 ) | fazenda ipanema flona ipanema sede ibama ( 7 ) | fazenda ipanema flona ( 2 ) | fazenda ipanema a margem da estrada proximo a sede do ibama capoeirao ( 1 ) | fazenda ipanema estrada do ribeirao do ferro ( 1 )",,"brazil_sao paulo_fazenda ipanema","",-23.361111,-47.681111
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Iracemápolis","mata da fazenda bertioga ( 35 ) | mata da fazenda bertioga floresta estacional semidecidual ( 5 ) | mata da fazenda bertioga mata de brejo ( 5 ) | mata de fazenda bertioga mata de brejo; borda de mata ( 2 ) | mata da faz bertioga ( 1 ) | mata da fazenda bertioga interior da mata sob dossel mata mesofila semidecidua ( 1 )",,"brazil_sao paulo_iracemapolis_mata fazenda bertioga","",,
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Jundiaí","ee jundiai ( 23 ) | eejundiai ( 6 ) | ee jundiai mata secundaria em bom estado de conservacao coletas principalmente na borda mamiferos comuns (saguis bugios jaguatirica) ( 3 ) | ee jundiai mata secundaria? em bom estado de conservacao coletas principalmente na borda mamiferos comuns (saguis bugios jaguatirica) ( 3 ) | e e de jundiai mata secundaria em bom estado de conservacao coletas principalmente na borda mamiferos comuns (saguis bugios jaguatirica) ( 2 ) | ee jundiai em bom estado de conservacao coletas principalmente na borda mamiferos comuns (saguis bugios jaguatirica) ( 2 )",,"brazil_sao paulo_jundiai_e","",-23.1839972375,-46.882617075
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Mairinque","sitio pantojo",,"brazil_sao paulo_mairinque_sitio pantojo","",-23.5143441,-47.21418862
51,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","Mococa","iac estacao experimental ( 41 ) | iac estacao experimental vegetacao nativa ( 8 ) | iac (estacao experimental de mococa) cafezal ( 1 ) | iac estacao experimental cafezal ( 1 )",,"brazil_sao paulo_mococa_iac","",-21.45492422,-46.99958898
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Mogi Guaçu","estacao experimental e biologica de mogi guacu ( 47 ) | estacao experimental e biologica de mogi-guacu ( 2 ) | estacao experimental e biologica de mogi guacu mata da figueira ( 1 ) | estado de sao paulo municipio de mogi guacu cassemiro estacao experimental e biologica de mogi guacu ( 1 )",,"brazil_sao paulo_mogi guacu_estacao experimental e biologica mogi guacu","",-22.3682026170213,-46.9427416382979
51,FALSE,,,,,,"gbif_jabot",,,,,,"Brazil","São Paulo","Ubatuba ( 49 ) | Piracicaba ( 1 ) | São Luís do Paraitinga ( 1 )","nucleo santa virginia parque estadual da serra do mar floresta ombrofila densa montana (area aberta) ( 7 ) | nucleo santa virginia parque estadual da serra do mar vargem grande trilha do morro do corcovado ( 4 ) | nucleo santa virginia pesm vargem grande ( 3 ) | nucleo santa virginia parque estadual da serra do mar floresta ombrofila densa montana ( 2 ) | nucleo santa virginia parque estadual da serra do mar rodovia nucleo- sao luiz do paraitinga ( 2 ) | nucleo santa virginia parque estadual da serra do mar rodovia ubatuba - sao luiz do paraitinga ( 2 )",,"brazil_sao paulo_nucleo santa virginia","",-23.4680664375,-45.192794625
51,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","Peruíbe","floresta de restinga proxima a foz do rio guarau (lado esquerdo)",,"brazil_sao paulo_peruibe_floresta restinga proxima a foz rio guarau","",,
51,FALSE,,,,,,"gbif_reflora_splink",,,,,,"Brazil","São Paulo","","prope rio grande ad sao paulo railway ( 47 ) | prov sao paulo prope rio grande ad sao paulo railway ( 4 )",,"brazil_sao paulo_prope rio grande ad sao paulo railway","",,
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","s vicente","praia de parnapoan ( 43 ) | praia parnapoan ( 8 )",,"brazil_sao paulo_s vicente","",,
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","s vicente","praia de parnapoan ( 43 ) | praia parnapoan ( 8 )",,"brazil_sao paulo_s vicente_praia parnapoan","",,
51,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Cananéia","parque estadual da ilha do cardoso estrada da captacao ( 44 ) | parque estadual da ilha do cardoso estrada da captacao parque estadual da ilha do cardoso ( 2 ) | parque estadual da ilha do cardoso estrada da captacao &nf;transicao restinga-mata ( 1 ) | parque estadual da ilha do cardoso estrada da captacao margens do rio pereque ( 1 ) | parque estadual da ilha do cardoso estrada da captacao restinga solo arenoso ( 1 ) | parque estadual da ilha do cardoso estrada de captacao ( 1 )",,"brazil_sao paulo_cananeia_parque estadual ilha cardoso, estrada captacao","brazil_sao paulo_cananeia_pe ilha cardoso",-25.0147,-47.9267
51,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","Jundiaí","serra do japi na estrada para a torre da tv cultura ( 46 ) | serra do japi terrestre na estrada para a torre da tv cultura ( 4 ) | serra do japi na estrada para a torre da tv cultura proxima das antenas ( 1 )",,"brazil_sao paulo_jundiai_serra japi, na estrada para a torre tv cultura","brazil_sao paulo_jundiai_serra japi",-23.25,-46.94373328
51,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","São Paulo","reserva biologica do parque estadual das fontes do ipiranga parque estadual das fontes do ipiranga ( 28 ) | reserva biologica parque estadual das fontes do ipiranga parque estadual das fontes do ipiranga ( 9 ) | reserva biologica do parque estadual das fontes do ipiranga area 18 parque estadual das fontes do ipiranga ( 2 ) | reserva biologica do parque estadual das fontes do ipiranga vila facchini parque estadual das fontes do ipiranga ( 2 ) | capital reserva biologica parque estadual das fontes do ipiranga parque estadual das fontes do ipiranga ( 1 ) | capital reserva biologica parque estadual das fontes do ipiranga; area 1 parque estadual das fontes do ipiranga ( 1 )",,"brazil_sao paulo_sao paulo_reserva biologica parque estadual fontes ipiranga, parque estadual fontes ipiranga","brazil_sao paulo_sao paulo_pe fontes ipiranga (antigo parque estado sao paulo)",,
50,FALSE,,,,,,"reflora",,,,,,"Brazil","","wenceslau guimar es","fazenda condom nio uni o situada na rodovia teol ndia/jaguaquara entre coc o e nova esperan a ( 43 ) | fazenda boa esperan a near reserva estadual wenceslau guimar es 8 km above rio vermelho 2 km above jct rd to taquara ( 2 ) | 3km w of nova esperan a w edge of reserva estadual wenceslau guimaraes ( 1 ) | ca 3 km w of nova esperan a w edge of reserva estadual wenceslau guimar es ( 1 ) | reserva estadual de wenceslau guimar es ca 40 km w de teol ndia pr ximo ao povoado de coc o ( 1 ) | reserva estadual de wenceslau guimar es cerca de 40 km w de teol ndia pr ximo ao povoado de coc o ( 1 )",,"brazil_NA_wenceslau guimar es","",,
50,FALSE,,,,,,"gbif_jabot_reflora_splink",,,,,,"Brazil","São Paulo","Bananal","parque nacional da serra da bocaina proximo ao marco 22 parque nacional da serra da bocaina ( 8 ) | parque nacional da serra da bocaina floresta atlantica coletada na beira da trilha ( 5 ) | parque nacional da serra da bocaina ( 4 ) | parque nacional da serra da bocaina parque nacional da serra da bocaina ( 3 ) | cachoeira do bracui parque nacional da serra da bocaina ( 2 ) | parque nacional da serra da bocaina margens do rio bonito parque nacional da serra da bocaina ( 2 )",,"brazil_sao paulo_bananal_parque nacional serra bocaina","",-22.772777725,-44.385000175
50,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Barra do Turvo","estrada para barra do turvo ( 47 ) | barra do turvo estrada para barra do turvo ( 1 ) | estrada para barra do turvo local sombreado ( 1 ) | estrada para barra do turvo mata atlantica de encosta ( 1 )",,"brazil_sao paulo_barra turvo_estrada para barra turvo","",-24.7857754857143,-48.478652502381
50,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Botucatu","fazenda experimental edgardia fca unesp",,"brazil_sao paulo_botucatu_fazenda experimental edgardia fca","",-22.8324442,-48.4171776
50,FALSE,,,,,,"gbif",,,,,,"Brazil","São Paulo","","bras est sao paulo campos de jordao c 1700 m ( 6 ) | bras: est sao paulo campos de jordao c 1700 m ( 4 ) | bras s paolo santos sororocaba (""sitio v bulow"") ( 3 ) | bras prov sao paulo prope alto da serra 900 m ( 2 ) | bras sao paulo prope campo grande ad ”sao paulo railway” c 700 m ( 2 ) | bras est sao paulo campos de jordao 1700 m ( 1 )",,"brazil_sao paulo_bras_bras","",,
50,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Bauru ( 43 ) | Botucatu ( 4 )","campus da unesp trilha atras do departamento de ciencias biologicas ( 29 ) | campus da unesp atras do departamento de ciencias biologicas ( 8 ) | campus da unesp em frente ao departamento de ciencias biologicas ( 3 ) | campus da unesp fazenda lajeado faculdade agronomia ( 2 ) | campus da unesp proximo ao departamento de ciencias biologicas ( 2 ) | campus unesp ( 2 )",,"brazil_sao paulo_campus unesp","",-22.3242494792938,-49.0445013389587
50,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Castilho","usina de jupia estrada para estacao de piscicultura da cesp cerca de 300m da margem do rio parana ( 10 ) | usina de jupia estrada para estacao de piscicultura da cesp a 300m da margem do rio parana ( 5 ) | usina de jupia estrada para estacao de piscicultura da cesp a cerca de 300m da margem do rio parana ( 5 ) | usina de jupia estrada para estacao de piscicultura da cesp a mais ou menos 300m da margem do rio parana ( 4 ) | brasil estado de sao paulo municipio de castilho usina de jupia estrada para estacao de piscicultura da cesp margen do rio parana ( 3 ) | usina de jupia estrada para estacao de piscicultura da cesp a + ou - 300 m da margem do rio parana ( 3 )",,"brazil_sao paulo_castilho_estrada para estacao piscicultura cesp","",-20.7865159361702,-51.6138102340426
50,FALSE,,,,,,"gbif_reflora_splink",,,,,,"Brazil","São Paulo","Itanhaém","rio branco mata degradada ate 8m alt ( 14 ) | rio branco beira de rio mata ( 5 ) | rio branco mata ( 5 ) | rio branco mata a beira do rio ( 5 ) | rio branco mata degradada ate 8m altura ( 4 ) | rio branco mata ciliar mata ciliar ( 2 )",,"brazil_sao paulo_itanhaem_rio branco","",-24.1662223111111,-46.7725549777778
