"Área de Proteção Ambiental","E-mail","Telefone","Endereço da Sede","Município","Documentos Legais","Atualização","Correspondência CNUC","nome_uc","Nome.da.UC","Área de Proteção Ambiental Marinha","Área de Relevante Interesse Ecológico","Estação Ecológica","Estação Experimental","Floresta Estadual","Monumento Natural Estadual","Parque Estadual","Endereço da sede","Reserva de Desenvolvimento Sustentável","Reserva Extrativista","Nº","RPPN","MUNICÍPIO","RESOLUÇÃO DE CRIAÇÃO","ÁREA EM HECTARES","APROVAÇÃO PLANO DE MANEJO","Refúgio da Vida Silvestre"
NA,"ec.jureiaitatins@fflorestal.sp.gov.br","13 3457-9243","Estrada do Guaraú, nº 4.164 – CEP 11750-000","Peruíbe","Decreto estadual nº 24.646","08/04/2024","parte de ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS?","Estação Ecológica Juréia-Itatins – Núcleo Grajauna","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO GRAJAUNA",NA,NA,"Juréia-Itatins – Núcleo Grajauna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ec.jureiaitatins@fflorestal.sp.gov.br","13 3457-9243","Estrada do Guaraú, nº 4.164 – CEP 11750-000","Peruíbe","Decreto estadual nº 24.646","08/04/2024","parte de ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS?","Estação Ecológica Juréia-Itatins – Núcleo Perequê","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO PEREQUÊ",NA,NA,"Juréia-Itatins – Núcleo Perequê",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ec.jureiaitatins@fflorestal.sp.gov.br","13 3457-9243","Estrada do Guaraú, nº 4.164 – CEP 11750-000","Peruíbe","Decreto estadual nº 24.646","08/04/2024","parte de ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS?","Estação Ecológica Juréia-Itatins – Núcleo Rio Verde","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS – NÚCLEO RIO VERDE",NA,NA,"Juréia-Itatins – Núcleo Rio Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"srodella@fflorestal.sp.gov.br","19 3438-7116 / 17 991890467","Rodovia Luiz de Queiroz, km 149, SP 304 Bairro: Tupi CEP: 13428-000","Piracicaba","–","27/03/2024","ok","Estação Ecológica Mata do Jacaré","ESTAÇÃO ECOLÓGICA MATA DO JACARÉ",NA,NA,"Mata do Jacaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"fe.noroeste@fflorestal.sp.gov.br","17 3221-2200","Rua Cristóvão Colombo, 2265 – Jardim Nazareth – CEP: 15054000","São José do Rio Preto","Decreto nº 68.173,
 de 9 de dezembro de 2023","18/03/2024","ok","Estação Ecológica Noroeste Paulista","ESTAÇÃO ECOLÓGICA NOROESTE PAULISTA",NA,NA,"Noroeste Paulista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ec.pfaria@fflorestal.sp.gov.br","17 99738-9495","Rodovia Waldemar Lopes Ferraz, km 554-555 da SP 322 – sentido municipio de Riolândia – CEP 15490-000","Paulo de Faria","Decreto n. 17.724, de 23 de setembro de 1981
 Plano de Manejo","18/03/2024","ok","Estação Ecológica Paulo de Faria","ESTAÇÃO ECOLÓGICA PAULO DE FARIA",NA,NA,"Paulo de Faria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"diretoriageral@if.sp.gov.br","14 3732-0290","Estrada Vicinal Paranapanema-Buri, km 7 – Santa Helena – CEP: 18720-000","Paranapanema","Plano de Manejo","14/03/2024","ok","Estação Ecológica Paranapanema","ESTAÇÃO ECOLÓGICA PARANAPANEMA",NA,NA,"Paranapanema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ec.ribpreto@fflorestal.sp.gov.br","11 93750-8503","Rodovia Prefeito Antonio Duarte Nogueira, km 317, Jardim Progresso – CEP 14031-800","Ribeirão Preto","Plano de Manejo","08/04/2024","ok","Estação Ecológica Ribeirão Preto","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO",NA,NA,"Ribeirão Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ec.ribpreto@fflorestal.sp.gov.br","16 3637-1939 
 14 99701 4347","Rodovia Vicinal Capitão José Luiz de Oliveira, Km 11,5 – CEP 14.200-000","São Simão","Plano de Manejo","10/04/2024","ok","Estação Ecológica Santa Maria","ESTAÇÃO ECOLÓGICA SANTA MARIA",NA,NA,"Santa Maria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"sampaio@fflorestal.sp.gov.br jpbsampaio@gmail.com","14 3203-1402","Horto Florestal de Bauru/EEx Bauru: Av. Rodrigues Alves, Quadra 38 nº 35 – CEP: 17.030-000","Bauru","Decreto Estadual n°38.424 de 06/06/1961
 Decreto Estadual n°26.890 de 12/03/1987
 Lei Estadual n° 9.721 de 26/8/1997
 Plano de Manejo","08/04/2024","nome cnuc: ESTAÇÃO ECOLÓGICA DE BAURU","Estação Ecológica Sebastião Aleixo da Silva","ESTAÇÃO ECOLÓGICA SEBASTIÃO ALEIXO DA SILVA",NA,NA,"Sebastião Aleixo da Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"beneditoff@fflorestal.sp.gov.br","–","Estr. Luis Queiros Guimarães, KM 05 – CEP: 13279-481","Valinhos","–",NA,"ok","Estação Ecológica Valinhos","ESTAÇÃO ECOLÓGICA VALINHOS",NA,NA,"Valinhos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"thiagobc@fflorestal.sp.gov.br","15 998251527","Est Municipal, Km 25 – Bairro Intervales – CEP: 18315-000","Ribeirão Grande","Plano de Manejo","08/04/2024","ok","Estação Ecológica Xituê","ESTAÇÃO ECOLÓGICA XITUÊ",NA,NA,"Xituê",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pamelatg@fflorestal.sp.gov.br","16 3335-0211","Rua Vereador Mário Ananias s/n, Chácara Flora 
 CEP: 14805-304","Araraquara","–","08/04/2024","não","Estação Experimental Araraquara","ESTAÇÃO EXPERIMENTAL ARARAQUARA",NA,NA,NA,"Araraquara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"eex.saosimao@fflorestal.sp.gov.br
 maicoporto@fflorestal.sp.gov.br","(16 3984-1121
  11 97386-7878","Rua Nutti, s/n, Bento Quirino
  CEP: 14200-000","São Simão","— –","08/04/2024","não","Estação Experimental Bento Quirino","ESTAÇÃO EXPERIMENTAL BENTO QUIRINO",NA,NA,NA,"Bento Quirino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"eeitirapina@fflorestal.sp.gov.br","19 3575-3326 
 11 94327-3884","Rua Oito, Vila Santa Cruz
 CEP: 13530-000","Itirapina","–","008/04/2024","parte da EEc ITIRAPINA?","Estação Experimental Itirapina","ESTAÇÃO EXPERIMENTAL ITIRAPINA",NA,NA,NA,"Itirapina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ivansuarez@fflorestal.sp.gov.br","19 99758-2647",NA,NA,"–","08.04.2024","não","Estação Experimental Mogi Mirim","ESTAÇÃO EXPERIMENTAL MOGI MIRIM",NA,NA,NA,"Mogi Mirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"eeitapetininga@if.sp.gov.br","15 3271-3866","Rodovia SP-268 – Estrada Vicinal João Ciriaco Ramos, km 6, Conquista – CEP: 18200-000","Angatuba","Decreto n. 44.389, de 5 de janeiro de 1965","14/03/2024","não","Floresta Estadual Angatuba","FLORESTA ESTADUAL ANGATUBA",NA,NA,NA,NA,"Angatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"marlicardoso@fflorestal.sp.gov.br","14 3732-0290","Rua Pernambuco s/n, Bairro Braz I","Avaré/SP","Decreto n° 14.908, de 1.º de agosto de 1945
 Decreto n°44.390, de 5 de janeiro de 1965
 Decreto nº 63.449, de 05 de junho de 2018","01/03/2024","não","Floresta Estadual Avaré I","FLORESTA ESTADUAL AVARÉ I",NA,NA,NA,NA,"Avaré I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"marlicardoso@fflorestal.sp.gov.br","14 3732-0290","Rodovia João Melão, km 251, acesso por estrada municipal rural","Avaré/SP","Decreto n° 34.081, de 28 de novembro de 1958
 Decreto n° 37.185, de 6 de setembro de 1960
 Decreto n° 37.186, de 6 de setembro de 1960
 Decreto n° 44.306, de 30 de dezembro de 1964","01/03/2024","não","Floresta Estadual Avaré II","FLORESTA ESTADUAL AVARÉ II",NA,NA,NA,NA,"Avaré II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"jmello@fflorestal.sp.gov.br","11 2997-5007 R 311","Av. Professor Frederico Hermann Jr., 345 – prédio 12 – 1° andar – Alto de Pinheiros – CEP 05459-010","São Paulo","Decreto nº 55.662 
 Plano de Manejo concluído","10/04/2024","ok","Floresta Estadual Guarulhos","FLORESTA ESTADUAL GUARULHOS",NA,NA,NA,NA,"Guarulhos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"feenarioclaro@fflorestal.sp.gov.br
 simonefreitas@fflorestal.sp.gov.br","19 3533-8327 
 11 94457-7878","Av. Navarro de Andrade, s/nº, CEP: 13506-820","Rio Claro","Plano de Manejo concluído","04/04/2024","ok","Floresta Estadual Edmundo Navarro de Andrade","FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE",NA,NA,NA,NA,"Edmundo Navarro de Andrade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"fe.noroeste@fflorestal.sp.gov.br","17 3233-6404","Rua José Ponce de Azevedo, s/n
 Bairro: Distrito Industrial
 CEP: 15038000","São José do Rio Preto","Decreto nº 63.455
 Plano de manejo
 Lista de Espécies","18/03/2024","ok","Floresta Estadual Noroeste Paulista","FLORESTA ESTADUAL NOROESTE PAULISTA",NA,NA,NA,NA,"Noroeste Paulista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"mona.pedradobau@fflorestal.sp.gov.br","12 99619-2199","Av. Vereador José Galdino Barbosa – Jardim dos Cisnes – CEP 12490-000","São Bento do Sapucaí","Decreto Nº 56.613","01/04/2024","ok","Monumento Natural Estadual Pedra do Baú","MONUMENTO NATURAL ESTADUAL PEDRA DO BAÚ",NA,NA,NA,NA,NA,"Pedra do Baú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"monapedragrande@fflorestal.sp.gov.br","11 4402-3533","Estrada Municipal Júca Sanches, 400, Jd. Brogota – CEP 12954-070","Atibaia","Decreto Nº 55.662","10/04/2024","ok","Monumento Natural Estadual Pedra Grande","MONUMENTO NATURAL ESTADUAL PEDRA GRANDE",NA,NA,NA,NA,NA,"Pedra Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"monamantiqueira@fflorestal.sp.gov.br","Cruzeiro: 13 99671-4503 / Piquete: 12 3156-4119","Endereço 1: Rua Pedro Ribeiro da Silva, 280, Vila Paulo Romeu, Bosque Municipal, Cruzeiro – CEP 12710-560 
 Endereço 2: Av. Major Pedro s/n, Vila Celeste – Portal de Entrada, Piquete – CEP 12260-000","Cruzeiro / Piquete","Decreto Estadual Nº 65.457 de 05 de janeiro 2021","10/04/2024","ok","Monumento Natural Estadual Mantiqueira Paulista","MONUMENTO NATURAL ESTADUAL MANTIQUEIRA PAULISTA",NA,NA,NA,NA,NA,"Mantiqueira Paulista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.aguapei@fflorestal.sp.gov.br","11 96193-7878",NA,"Junqueirópolis","Decreto Estadual nº 43.269","09/04/2024","ok","Parque Estadual Aguapeí","PARQUE ESTADUAL AGUAPEÍ",NA,NA,NA,NA,NA,NA,"Aguapeí","Av. 07 de setembro, n° 1237 – piso superior – Centro – CEP 17890-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.aguasdabillings@fflorestal.sp.gov.br","11 2997-5000 R 312",NA,"São Bernardo do Campo","Decreto Estadual nº 63.324
 Plano de Manejo","01/03/2024","ok","Parque Estadual Águas da Billings","PARQUE ESTADUAL ÁGUAS DA BILLINGS",NA,NA,NA,NA,NA,NA,"Águas da Billings","Estrada do Montanhão 1030, São Bernardo do Campo – SP",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"simonefreitas@fflorestal.sp.gov.br","19 99933-9877",NA,"Águas da Prata","Decreto Estadual nº 63.454","08/04/2024","ok","Parque Estadual Águas da Prata","PARQUE ESTADUAL ÁGUAS DA PRATA",NA,NA,NA,NA,NA,NA,"Águas da Prata","Avenida Washington Luis, 485, Centro – CEP 13890-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.ara@fflorestal.sp.gov.br","19 3881-3869",NA,"Valinhos","–","08/04/2024","não","Parque Estadual Assessoria da Reforma Agrária","PARQUE ESTADUAL ASSESSORIA DA REFORMA AGRÁRIA",NA,NA,NA,NA,NA,NA,"Assessoria da Reforma Agrária","Estrada Luiz de Queiroz Guimarães, Km 5. Bairro CEP 13279-481",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.campinadoencantado@fflorestal.sp.gov.br","13 3856-2267",NA,"Pariquera-Açu","Decreto Estadual nº 8.873","08/04/2024","ok","Parque Estadual Campina do Encantado","PARQUE ESTADUAL CAMPINA DO ENCANTADO",NA,NA,NA,NA,NA,NA,"Campina do Encantado","Rua Santo Saletti, 262 Centro – CEP 11930-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.camposdojordao@fflorestal.sp.gov.br","12 3663-3762",NA,"Campos do Jordão","Decreto-Lei Estadual nº 11.908","08/05/2024","ok","Parque Estadual Campos do Jordão","PARQUE ESTADUAL CAMPOS DO JORDÃO",NA,NA,NA,NA,NA,NA,"Campos do Jordão","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.cantareira@fflorestal.sp.gov.br","11 2203-3266 /
 11 2203-0115",NA,"São Paulo","Lei nº 10.228","18/03/2024","ok","Parque Estadual Cantareira","PARQUE ESTADUAL CANTAREIRA",NA,NA,NA,NA,NA,NA,"Cantareira","Rua do Horto, 1799, Horto Florestal – CEP 02377-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.cantareira@fflorestal.sp.gov.br","11 2448-5395",NA,"Mairiporã","Lei nº 10.228","10/04/2024","parte do PARQUE ESTADUAL DA CANTAREIRA","Parque Estadual Cantareira – Núcleo Águas Claras","PARQUE ESTADUAL CANTAREIRA – NÚCLEO ÁGUAS CLARAS",NA,NA,NA,NA,NA,NA,"Cantareira – Núcleo Águas Claras","Av. Senador José Erminio de Moraes s/nº",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"cantareiracabucu@gmail.com","11 2401-6217",NA,"Guarulhos","Lei nº 10.228","10/04/2024","parte do PARQUE ESTADUAL DA CANTAREIRA","Parque Estadual Cantareira – Núcleo Cabuçu","PARQUE ESTADUAL CANTAREIRA – NÚCLEO CABUÇU",NA,NA,NA,NA,NA,NA,"Cantareira – Núcleo Cabuçu","Av. Pedro de Souza Lopes, 7903, Jd. São Luiz",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.cantareira@fflorestal.sp.gov.br","11 2203-0115",NA,"Sâo Paulo","Lei nº 10.228","10/04/2024","parte do PARQUE ESTADUAL DA CANTAREIRA","Parque Estadual Cantareira – Núcleo Pedra Grande","PARQUE ESTADUAL CANTAREIRA – NÚCLEO PEDRA GRANDE",NA,NA,NA,NA,NA,NA,"Cantareira – Núcleo Pedra Grande","Rua do Horto, n°1.799 – Horto Florestal CEP 02377-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"n.engordador@gmail.com","11 2995-3254",NA,"Sâo Paulo","Lei nº 10.228","10/04/2024","parte do PARQUE ESTADUAL DA CANTAREIRA","Parque Estadual Cantareira – Núcleo Engordador","PARQUE ESTADUAL CANTAREIRA – NÚCLEO ENGORDADOR",NA,NA,NA,NA,NA,NA,"Cantareira – Núcleo Engordador","Av. Cel. Sezefredo Fagundes, n°19.100",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.carlosbotelho@fflorestal.sp.gov.br","15 3279-0483",NA,"São Miguel Arcanjo","Decreto Estadual nº 19.499","08/05/2024","ok","Parque Estadual Carlos Botelho","PARQUE ESTADUAL CARLOS BOTELHO",NA,NA,NA,NA,NA,NA,"Carlos Botelho","Rodovia SP-139, km 78,5, Bairro do Abaitinga – CEP 18230-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.carlosbotelho@fflorestal.só.gov.br","15 3279-0483",NA,"São Miguel Arcanjo","Decreto Estadual nº 19.499","10/05/2024","parte do PARQUE ESTADUAL CARLOS BOTELHO","Parque Estadual Carlos Botelho – Núcleo São Miguel Arcanjo","PARQUE ESTADUAL CARLOS BOTELHO – NÚCLEO SÃO MIGUEL ARCANJO",NA,NA,NA,NA,NA,NA,"Carlos Botelho – Núcleo São Miguel Arcanjo","Rodovia SP-139, km 78,5, Bairro do Abaitinga – CEP 18230-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.carlosbotelho@fflorestal.só.gov.br","15 3279-0483",NA,"São Miguel Arcanjo","Decreto Estadual nº 19.499","10/05/2024","parte do PARQUE ESTADUAL CARLOS BOTELHO","Parque Estadual Carlos Botelho – Núcleo Sete Barras","PARQUE ESTADUAL CARLOS BOTELHO – NÚCLEO SETE BARRAS",NA,NA,NA,NA,NA,NA,"Carlos Botelho – Núcleo Sete Barras","Rodovia SP-139, km 78,5, Bairro do Abaitinga – CEP 18230-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.cavernadiabo@fflorestal.sp.gov.br","13 3871-1242 ou 13 3871-3318",NA,"Eldorado","Lei Estadual nº 12.810","10/04/2024","ok","Parque Estadual Caverna do Diabo","PARQUE ESTADUAL CAVERNA DO DIABO",NA,NA,NA,NA,NA,NA,"Caverna do Diabo","Rua Dr. Nuno Silva, Nº 773, ao lado do PIT – Posto de Informações Turísticas – CEP 11960-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.furnas@fflorestal.sp.gov.br","16 3171-1118",NA,"Pedregulho","Decreto Estadual nº 30.591","10/04/2024","ok","Parque Estadual Furnas do Bom Jesus","PARQUE ESTADUAL FURNAS DO BOM JESUS",NA,NA,NA,NA,NA,NA,"Furnas do Bom Jesus","Av. Orestes Quércia, Km 0,7 – CEP 14470-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.ilhaanchieta@fflorestal.sp.gov.br","12 3842-1231",NA,"Ubatuba","Decreto Estadual nº 9.629","10/04/2024","ok","Parque Estadual Ilha Anchieta","PARQUE ESTADUAL ILHA ANCHIETA",NA,NA,NA,NA,NA,NA,"Ilha Anchieta","Avenida Plínio de França, Nº 85 – Saco da Ribeira ( Píer Saco da Ribeira ) – CEP 11680-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.ilhacardoso@fflorestal.sp.gov.br","13 3851-1108",NA,"Cananéia","Decreto Estadual nº 40.319
 TABELA 1 – Listagem das espécies encontradas em áreas de restinga no Parque
 Estadual da Ilha do Cardoso (Sugyama, 1998).","14/03/2024","ok","Parque Estadual Ilha do Cardoso","PARQUE ESTADUAL ILHA DO CARDOSO",NA,NA,NA,NA,NA,NA,"Ilha do Cardoso","Avenida Professor Wladimir Besnard, s/n° – Morro São João – CEP 11990-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.ilhacardoso@fflorestal.sp.gov.br","13 3851-1163 
 13 3851-1108",NA,"Cananéa","Decreto Estadual nº 40.319
 Lista de Espécies","08/05/2024","parte do PE ILHA DO CARDOSO","Parque Estadual Ilha do Cardoso – Núcleo Marujá","PARQUE ESTADUAL ILHA DO CARDOSO – NÚCLEO MARUJÁ",NA,NA,NA,NA,NA,NA,"Ilha do Cardoso – Núcleo Marujá","Avenida Professor Wladimir Besnard, s/n° – Morro São João – CEP 11990-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.ilhacardoso@fflorestal.sp.gov.br","13 3851-1163
 13 3851-1108",NA,"Cananéia","Decreto Estadual nº 40.319
 Lista de Espécies","08/05/2025","parte do PE ILHA DO CARDOSO","Parque Estadual Ilha do Cardoso – Núcleo Perequê","PARQUE ESTADUAL ILHA DO CARDOSO – NÚCLEO PEREQUÊ",NA,NA,NA,NA,NA,NA,"Ilha do Cardoso – Núcleo Perequê","Avenida Professor Wladimir Besnard, s/n° – Morro São João – CEP 11990-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.ilhabela@fflorestal.sp.gov.br","12 3896-2660",NA,"Ilhabela","Decreto Estadual nº 9.414","08/04/2024","ok","Parque Estadual Ilhabela","PARQUE ESTADUAL ILHABELA",NA,NA,NA,NA,NA,NA,"Ilhabela","Final da Rua Morro da Cruz, Itaguaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.intervales@fflorestal.sp.gov.br","15 3542-1511",NA,"Ribeirão Grande","Decreto Estadual n° 40.135","10/04/2024","ok","Parque Estadual Intervales","PARQUE ESTADUAL INTERVALES",NA,NA,NA,NA,NA,NA,"Intervales","Estrada Municipal, km 25 – CEP 18315-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"–","–",NA,"–","–",NA,"parte do PE INTERVALES","Parque Estadual Intervales – Núcleo Guapiruvu","PARQUE ESTADUAL INTERVALES – NÚCLEO GUAPIRUVU",NA,NA,NA,NA,NA,NA,"Intervales – Núcleo Guapiruvu","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"–","–",NA,"–","–",NA,"parte do PE INTERVALES","Parque Estadual Intervales – Núcleo Quilombo","PARQUE ESTADUAL INTERVALES – NÚCLEO QUILOMBO",NA,NA,NA,NA,NA,NA,"Intervales – Núcleo Quilombo","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.itaberaba@fflorestal.sp.gov.br","11 99994-8454",NA,"São Paulo","Decreto nº 55.662","10/04/2024","ok","Parque Estadual Itaberaba","PARQUE ESTADUAL ITABERABA",NA,NA,NA,NA,NA,NA,"Itaberaba","Rua do Horto, 931, Tremembé – CEP 02377-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.itapetinga@fflorestal.sp.gov.br","11 4402-3533",NA,"Atibaia","Decreto nº 55.662","10/04/2024","ok","Parque Estadual Itapetinga","PARQUE ESTADUAL ITAPETINGA",NA,NA,NA,NA,NA,NA,"Itapetinga","Estrada Municipal Júca Sanches, 400, Jd. Brogota – CEP 12954-070",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.itingucu@fflorestal.sp.gov.br","13 3457-9215",NA,"Peruíbe","–","10/04/2024","PARQUE ESTADUAL DO ITINGUÇU?","Parque Estadual Itinguçu – Núcleo Arpoador","PARQUE ESTADUAL ITINGUÇU – NÚCLEO ARPOADOR",NA,NA,NA,NA,NA,NA,"Itinguçu – Núcleo Arpoador","Estrada Ecologista Arnaldo Paschoalino, s/n, Utinga Grande – CEP 11750-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.jaragua@fflorestal.sp.gov.br","11 3941-2162 /
 11 3943-5222",NA,"São Paulo","Decreto Estadual nº 10.877;
 Decreto nº 38.391","10/04/2024","ok","Parque Estadual Jaraguá","PARQUE ESTADUAL JARAGUÁ",NA,NA,NA,NA,NA,NA,"Jaraguá","Rua Antônio Cardoso Nogueira, n°539, Vila Chica Luiza – CEP 05184-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.juquery@fflorestal.sp.gov.br","11 4449-5545",NA,"Franco da Rocha","Anexo I
 Lei Ordinária nº 17304/2020
 Decreto nº 36859/1993","10/04/2024","ok","Parque Estadual Juquery","PARQUE ESTADUAL JUQUERY",NA,NA,NA,NA,NA,NA,"Juquery","Rua Miguel Segundo Lerussi, s/n°, Parque Industrial – CEP 07859-390",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.jurupara@fflorestal.sp.gov.br","15 99692-4056",NA,"Ibiúna, Juquitiba","Decreto Estadual nº 35.703","10/04/2024","ok","Parque Estadual Jurupará","PARQUE ESTADUAL JURUPARÁ",NA,NA,NA,NA,NA,NA,"Jurupará","Estrada Turística Cachoeira do França, 13,5km – CEP: 18150-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.lagamarcananeia@fflorestal.sp.gov.br","13 3851-1108",NA,"Cananéia","Lei Estadual nº 12.810","10/04/2024","ok","Parque Estadual Lagamar de Cananéia","PARQUE ESTADUAL LAGAMAR DE CANANÉIA",NA,NA,NA,NA,NA,NA,"Lagamar de Cananéia","Rua Prof. Vladimir Bersnard, s/n – CEP: 04952-100",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.camposdojordao@fflorestal.sp.gov.br","12 3663-1977",NA,"Campos do Jordão","Decreto Estadual nº 37.539","10/04/2024","ok","Parque Estadual Mananciais de Campos do Jordão","PARQUE ESTADUAL MANANCIAIS DE CAMPOS DO JORDÃO",NA,NA,NA,NA,NA,NA,"Mananciais de Campos do Jordão","Rua Tobias Rodrigues do Prado, s/n",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pem.lajedesantos@fflorestal.sp.gov.br","13 997833891",NA,"São Vicente","Decreto Estadual nº 37.537
 Plano de manejo","18/03/2024","nome cnuc:PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","Parque Estadual Marinho Laje de Santos","PARQUE ESTADUAL MARINHO LAJE DE SANTOS",NA,NA,NA,NA,NA,NA,"Marinho Laje de Santos","Av. Tupiniquins, 1009, Japui – CEP 11325-500",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.mdiabo@fflorestal.sp.gov.br","18 3282-1599",NA,"Teodoro Sampaio","Decreto Estadual nº 25.342","10/04/2024","ok","Parque Estadual Morro do Diabo","PARQUE ESTADUAL MORRO DO DIABO",NA,NA,NA,NA,NA,NA,"Morro do Diabo","SPV Rubens Carlos Herling, Km 11, Bairro Córrego Seco – CEP 19280-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.nascentesdoparanapanema@fflorestal.sp.gov.br","15 3542-2540",NA,"Capão Bonito","Decreto Estadual nº 58.148","10/04/2024","ok","Parque Estadual Nascentes do Paranapanema","PARQUE ESTADUAL NASCENTES DO PARANAPANEMA",NA,NA,NA,NA,NA,NA,"Nascentes do Paranapanema","Rua Dr. Péricles de Freitas, nº 156, Terras do Embiruçu – CEP 18304-750",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.pferreira@fflorestal.sp.gov.br","19 99828-5906",NA,"Porto Ferreira","Decreto Estadual nº 40.991;
 Decreto Estadaul nº 26.891Plano de Manejo","01/03/2024","ok","Parque Estadual Porto Ferreira","PARQUE ESTADUAL PORTO FERREIRA",NA,NA,NA,NA,NA,NA,"Porto Ferreira","Rodovia SP, 215 km 89 – CEP 13660-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
